Gene,sample1,sample2,sampleN
ASAH1,22,36,15
ASAH2,0,0,0
ASAH2B,1,0,1
ASAP1,0,0,0
ASAP2,0,0,0
ASAP3,0,0,0
ASB1,11,9,6
ASB10,0,0,0
ASB11,0,0,0
ASB12,4,0,0
ASB13,3,2,2
ASB14,0,0,0
ASB15,0,0,0
ASB16,0,0,0
ASB17,0,0,0
ASB18,0,0,0
ASB2,0,0,0
ASB3,1,0,1
ASB4,0,3,0
ASB5,0,0,0
ASB6,23,11,15
ASB7,1,4,3
ASB8,3,7,6
ASB9,0,0,0
ASCC1,0,0,0
ASCC2,0,0,0
ASCC3,1,1,1
ASCL1,0,6,4
ASCL2,8,35,81
ASCL3,2,0,0
ASCL4,0,0,0
ASCL5,0,0,1
ASF1A,30,33,12
ASF1B,4,2,1
ASGR1,6,4,0
ASGR2,0,0,0
ASH1L,1,1,1
ASH2L,1,1,1
ASIC1,0,0,0
ASIC2,0,0,0
ASIC3,1,3,1
ASIC4,0,1,0
ASIC5,0,0,0
ASIP,0,0,0
ASL,7,3,3
ASNS,1,2,2
ASNSD1,20,12,20
ASPA,0,1,1
ASPDH,0,0,1
ASPG,0,0,0
ASPH,1,0,0
ASPHD1,21,14,11
ASPHD2,25,14,10
ASPM,1,2,1
ASPN,7,17,7
ASPRV1,0,0,0
ASPSCR1,1,1,1
ASRGL1,3,1,3
ASS1,33,43,17
ASTE1,1,4,2
ASTL,0,0,0
ASTN1,0,0,0
ASTN2,0,0,0
ASXL1,1,1,1
